,serf1,serf2,serf3,serf4,serf5,serf6,serf7,serf8,serf9,serf10,serf11,serf12,serf13,serf14,serf15,serf16,serf17,serf18,serf19,serf20,serf21,serf22,serf23,serf24,serf25,serf26,serf27,serf28,serf29,serf30
serf12,13.201000,14.241000,15.205000,16.279000,17.276000,18.373000,19.297000,20.256000,21.286000,22.389000,1.594000,0.000000,3.860000,5.217000,6.259000,7.552000,7.206000,9.977000,9.162000,12.287000,17.290000,18.312000,19.273000,20.287000,21.262000,22.288000,23.291000,24.251000,25.327000,26.307000
serf13,14.230000,15.347000,16.425000,17.279000,18.242000,19.275000,20.229000,21.289000,22.254000,23.415000,2.720000,3.225000,0.000000,6.334000,7.415000,8.668000,9.931000,11.059000,10.284000,13.470000,18.223000,19.310000,20.436000,21.308000,22.282000,23.337000,24.214000,25.262000,26.261000,27.245000
serf14,15.228000,16.334000,17.218000,18.396000,19.309000,20.350000,21.294000,22.284000,23.474000,24.354000,3.803000,5.119000,5.226000,0.000000,8.758000,9.874000,9.221000,10.253000,13.375000,14.737000,19.358000,20.266000,21.356000,22.246000,23.262000,24.280000,25.445000,26.334000,27.243000,28.380000
serf15,16.213000,17.236000,18.287000,19.301000,20.366000,21.293000,22.194000,23.287000,24.238000,25.284000,4.168000,6.374000,6.234000,8.681000,0.000000,11.126000,10.334000,13.598000,14.853000,13.148000,20.309000,21.207000,22.256000,23.260000,24.271000,25.308000,26.283000,27.293000,28.288000,29.382000
serf16,17.237000,18.254000,19.295000,20.247000,21.275000,22.212000,23.189000,24.279000,25.207000,26.191000,5.287000,7.533000,8.735000,9.997000,11.045000,0.000000,11.129000,12.301000,16.034000,17.084000,21.184000,22.493000,23.319000,24.214000,25.263000,26.221000,27.292000,28.271000,29.418000,30.194000
serf17,18.276000,19.302000,20.274000,21.368000,22.273000,23.311000,24.223000,25.309000,26.297000,27.269000,6.205000,9.805000,9.851000,11.146000,10.272000,13.528000,0.000000,15.953000,17.026000,15.221000,22.358000,23.267000,24.353000,25.272000,26.301000,27.215000,28.361000,29.228000,30.275000,31.517000
serf18,19.235000,20.272000,21.286000,22.391000,23.264000,24.255000,25.292000,26.393000,27.285000,28.319000,8.799000,9.973000,9.124000,10.275000,13.429000,14.693000,15.936000,0.000000,18.475000,19.577000,23.379000,24.453000,25.361000,26.252000,27.236000,28.264000,29.435000,30.299000,31.280000,32.325000
serf19,20.391000,21.295000,22.390000,23.265000,24.260000,25.234000,26.259000,27.446000,28.185000,29.264000,9.988000,11.073000,10.149000,13.475000,14.680000,15.965000,17.186000,18.341000,0.000000,17.411000,24.414000,25.206000,26.303000,27.273000,28.318000,29.220000,30.275000,31.371000,32.237000,33.239000
serf20,21.310000,22.217000,23.279000,24.435000,25.208000,26.284000,27.272000,28.227000,29.372000,30.288000,9.265000,12.323000,13.507000,12.252000,16.084000,17.050000,18.463000,19.473000,20.720000,0.000000,25.339000,26.273000,27.304000,28.355000,29.298000,30.234000,31.293000,32.217000,33.268000,34.313000
serf21,14.223000,15.197000,16.209000,17.337000,18.370000,19.167000,20.202000,21.263000,22.195000,23.479000,16.213000,17.272000,18.177000,19.243000,20.235000,21.368000,22.220000,23.244000,24.219000,25.256000,0.000000,1.471000,2.652000,3.899000,5.022000,5.238000,7.497000,8.589000,9.876000,10.988000
serf22,15.214000,16.176000,17.297000,18.210000,19.210000,20.359000,21.195000,22.296000,23.335000,24.236000,17.247000,18.294000,19.351000,20.210000,21.252000,22.351000,23.240000,24.259000,25.248000,26.346000,1.114000,0.000000,3.162000,5.166000,6.223000,6.211000,8.740000,9.894000,9.311000,12.305000
serf23,16.406000,17.305000,18.248000,19.319000,20.228000,21.298000,22.250000,23.267000,24.271000,25.260000,18.158000,19.168000,20.338000,21.218000,22.434000,23.289000,24.479000,25.309000,26.282000,27.401000,2.637000,3.895000,0.000000,6.343000,6.264000,8.734000,9.917000,9.207000,12.314000,11.323000
serf24,17.211000,18.302000,19.253000,20.197000,21.266000,22.378000,23.255000,24.289000,25.261000,26.280000,19.239000,20.208000,21.428000,22.178000,23.365000,24.293000,25.465000,26.180000,27.257000,28.273000,3.893000,5.248000,6.423000,0.000000,8.828000,9.923000,11.162000,12.347000,13.541000,14.840000
serf25,18.542000,19.331000,20.236000,21.299000,22.260000,23.393000,24.300000,25.280000,26.273000,27.383000,20.355000,21.225000,22.390000,23.251000,24.474000,25.248000,26.452000,27.266000,28.279000,29.271000,5.029000,6.312000,6.184000,8.845000,0.000000,9.177000,12.430000,13.598000,14.909000,15.956000
serf26,19.171000,20.238000,23.110000,22.296000,23.283000,24.457000,25.224000,26.264000,27.218000,28.292000,21.263000,22.323000,23.317000,24.262000,25.249000,26.307000,27.371000,28.278000,29.360000,30.281000,6.319000,7.616000,7.223000,8.156000,11.117000,0.000000,13.562000,12.240000,15.982000,17.039000
serf27,20.236000,21.329000,22.400000,23.337000,24.215000,25.398000,26.217000,27.137000,28.228000,29.348000,22.175000,23.223000,24.438000,25.452000,26.257000,27.241000,28.248000,29.306000,30.214000,31.321000,7.537000,8.758000,8.186000,11.205000,10.202000,11.281000,0.000000,13.268000,14.321000,18.377000
serf28,21.233000,22.346000,23.465000,24.298000,25.299000,26.307000,27.432000,28.289000,29.274000,30.193000,23.238000,24.183000,25.213000,26.295000,27.388000,28.187000,29.378000,30.394000,31.257000,32.235000,8.751000,9.965000,11.107000,10.186000,13.493000,14.703000,15.930000,0.000000,15.242000,19.543000
serf29,22.292000,23.267000,24.349000,25.254000,26.225000,27.292000,28.326000,29.272000,30.298000,31.367000,24.324000,25.345000,26.282000,27.282000,28.264000,29.283000,30.296000,31.466000,32.224000,33.392000,9.756000,11.088000,12.403000,11.268000,14.725000,15.995000,17.247000,15.225000,0.000000,20.664000
serf30,23.409000,24.298000,25.246000,26.302000,27.317000,28.298000,29.347000,30.190000,31.271000,32.322000,25.334000,26.391000,27.258000,28.290000,29.328000,30.263000,31.260000,32.452000,33.321000,34.280000,11.094000,12.335000,13.506000,12.311000,15.828000,14.187000,18.256000,19.651000,20.842000,0.000000
